pr,"	Year", Month, Country, ISO3, ISO2
59.9345,2006,7,USA,,
70.9135,2006,8,USA,,
63.4016,2006,9,USA,,
63.2713,2006,10,USA,,
47.2023,2006,11,USA,,
52.0679,2006,12,USA,,
46.3883,2007,1,USA,,
33.976,2007,2,USA,,
46.0611,2007,3,USA,,
48.4032,2007,4,USA,,
56.1475,2007,5,USA,,
62.4014,2007,6,USA,,
66.7481,2007,7,USA,,
59.5767,2007,8,USA,,
57.154,2007,9,USA,,
58.9571,2007,10,USA,,
32.4459,2007,11,USA,,
58.9893,2007,12,USA,,
46.1214,2008,1,USA,,
49.7277,2008,2,USA,,
50.2631,2008,3,USA,,
54.2075,2008,4,USA,,
60.2535,2008,5,USA,,
70.2924,2008,6,USA,,
72.6509,2008,7,USA,,
63.57,2008,8,USA,,
60.9778,2008,9,USA,,
48.6634,2008,10,USA,,
42.1148,2008,11,USA,,
58.1774,2008,12,USA,,
37.7718,2009,1,USA,,
36.2683,2009,2,USA,,
56.0125,2009,3,USA,,
55.3039,2009,4,USA,,
63.3972,2009,5,USA,,
64.9941,2009,6,USA,,
67.3967,2009,7,USA,,
66.8052,2009,8,USA,,
54.6329,2009,9,USA,,
85.0112,2009,10,USA,,
34.9198,2009,11,USA,,
57.9742,2009,12,USA,,
50.0241,2010,1,USA,,
39.5081,2010,2,USA,,
44.5897,2010,3,USA,,
45.7305,2010,4,USA,,
63.7383,2010,5,USA,,
78.9699,2010,6,USA,,
79.3401,2010,7,USA,,
61.0851,2010,8,USA,,
63.0522,2010,9,USA,,
43.1578,2010,10,USA,,
50.0691,2010,11,USA,,
48.4882,2010,12,USA,,
38.4286,2011,1,USA,,
47.7418,2011,2,USA,,
55.1848,2011,3,USA,,
62.1183,2011,4,USA,,
68.6179,2011,5,USA,,
62.1485,2011,6,USA,,
65.3297,2011,7,USA,,
64.0022,2011,8,USA,,
57.7688,2011,9,USA,,
49.0825,2011,10,USA,,
55.1938,2011,11,USA,,
52.3624,2011,12,USA,,
46.1864,2012,1,USA,,
41.7129,2012,2,USA,,
55.118,2012,3,USA,,
47.6245,2012,4,USA,,
53.8075,2012,5,USA,,
55.2458,2012,6,USA,,
66.5096,2012,7,USA,,
60.8082,2012,8,USA,,
65.6802,2012,9,USA,,
51.3462,2012,10,USA,,
33.7364,2012,11,USA,,
57.3133,2012,12,USA,,
52.3099,2013,1,USA,,
43.1898,2013,2,USA,,
37.0164,2013,3,USA,,
60.3789,2013,4,USA,,
75.6272,2013,5,USA,,
75.5614,2013,6,USA,,
74.0633,2013,7,USA,,
61.8915,2013,8,USA,,
72.7194,2013,9,USA,,
59.1606,2013,10,USA,,
47.5228,2013,11,USA,,
50.7346,2013,12,USA,,
36.2645,2014,1,USA,,
44.3825,2014,2,USA,,
46.7482,2014,3,USA,,
61.0028,2014,4,USA,,
58.0433,2014,5,USA,,
85.1186,2014,6,USA,,
68.2143,2014,7,USA,,
74.2447,2014,8,USA,,
63.0962,2014,9,USA,,
51.8328,2014,10,USA,,
44.4668,2014,11,USA,,
55.9687,2014,12,USA,,
42.3249,2015,1,USA,,
39.5467,2015,2,USA,,
42.578,2015,3,USA,,
60.9151,2015,4,USA,,
81.9923,2015,5,USA,,
75.5629,2015,6,USA,,
78.8892,2015,7,USA,,
69.3357,2015,8,USA,,
61.207,2015,9,USA,,
62.7919,2015,10,USA,,
74.2731,2015,11,USA,,
75.7757,2015,12,USA,,
